"Name","Glycan Structure"
"G00231IQ","alpha-D-NeupAc-(2->6)-beta-D-Galp-(1->3)-beta-D-GalpNAc-(1->4)-?-D-GlcpNAc-(1->?)[?-D-GlcpNAc-(1->?)]-alpha-D-Manp-(1->?)[?-D-Manp-(1->?)-alpha-D-Manp-(1->?)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)[alpha-L-Fucp-(1->6)]-beta-D-GlcpNAc-(1->"
"G00231WL","alpha-D-NeupAc-(2->3)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)[beta-D-Galp3S-(1->4)-beta-D-GlcpNAc-(1->4)]-alpha-D-Manp-(1->3)[alpha-D-NeupAc-(2->3)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)[alpha-D-NeupAc-(2->3)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->6)]-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)[alpha-L-Fucp-(1->6)]-?-D-GlcpNAc-(1->"
"G00247PL","beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->3)-beta-D-GlcpNAc-(1->4)[alpha-D-Manp-(1->3)-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)[alpha-L-Fucp-(1->6)]-?-D-GlcpNAc-(1->"
"G00249XF","?-D-Galp-(1->?)-?-D-GlcpNAc-(1->3)[?-D-Galp-(1->3)-?-D-GlcpNAc6S-(1->6)]-alpha-D-GalpNAc-(1->"
"G00257UQ","?-D-NeupAc-(2->?)-?-D-Galp-(1->?)[?-L-Fucp-(1->?)]-?-D-GlcpNAc6S-(1->?)[?-D-NeupAc-(2->?)-?-D-Galp-(1->?)]-?-D-GalNAc-(?->"
"G00258QK","?-D-Galp-(1->?)-?-D-Manp-(1->?)[?-D-Manp-(1->?)]-?-D-Manp-(1->?)-?-D-GlcpNAc-(1->?)[?-L-Fucp-(1->?)]-?-D-GlcpNAc-(1->"
"G00272VU","beta-D-Galp-(1->4)[alpha-L-Fucp-(1->3)]-beta-D-GlcpNAc-(1->4)-alpha-D-Manp-(1->3)-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)[alpha-L-Fucp-(1->6)]-beta-D-GlcpNAc-(1->"
"G00277SO","?-D-Galp-(1->?)[?-L-Fucp-(1->?)]-?-D-GlcpNAc-(1->?)-?-D-GlcpNAc-(1->?)[?-L-Fucp-(1->?)-?-D-Galp-(1->?)]-?-D-GalpNAc-(1->"
"G00279YF","beta-D-GalpNAc-(1->4)-beta-D-GlcpNAc-(1->2)[beta-D-GlcpNAc-(1->4)]-alpha-D-Manp-(1->3)[beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-?-D-GlcpNAc-(1->"
"G00281HB","?-D-Galp-(1->?)-?-D-GlcpNAc-(1->?)-alpha-D-Manp-(1->3/6)[?-D-Manp-(1->?)[?-D-Manp-(1->?)]-alpha-D-Manp-(1->3/6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-beta-D-GlcpNAc-(1->"
"G00283TT","alpha-L-Fucp-(1->2)-beta-D-4-deoxy-xylHex?-(1->4)-?-D-GlcpNAc-(1->"
"G00284SJ","?-D-Manp-(1->?)[?-D-Galf-(1->?)]-?-D-Manp-(1->?)[?-D-Manp-(1->?)]-?-D-Manp-(1->?)-?-D-GlcpNAc-(1->?)-?-D-GlcpNAc-(1->"
"G00287UD","beta-D-GlcpNAc-(1->4)-beta-D-GlcpNAc-(1->3)[beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->6)]-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->3)-?-D-GalNAc-(?->"
"G00288QM","?-D-GlcpNAc-(1->?)[?-D-Galp-(1->?)]-?-D-GalpNAc-(1->?)-?-D-Galp-(1->?)-?-D-Galp-(1->?)-?-D-Glcp-(1->"
"G00293HN","?-D-Alt?-(1->"
"G00294BL","beta-D-Galp-(1->3)[alpha-L-Fucp-(1->4)]-beta-D-GlcpNAc-(1->3)-?-D-Gal-(?->"
"G00294TN","alpha-L-Fucp-(1->2)-beta-D-Galp-(1->3)-beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->"
"G00298HY","beta-D-GlcpNAc-(1->2)[beta-D-GlcpNAc-(1->6)]-?-D-Man-(?->"
"G00306VT","alpha-L-Fucp-(1->2)-beta-D-Galp-(1->3)-?-D-Galp-(1->"
"G00311MF","?-D-Galp-(1->?)-?-D-GalpNAc-(1->?)-?-D-Gal-(?->"
"G00318AV","?-D-NeupAc-(2->?)-?-D-Galp-(1->?)-?-D-GlcpNAc-(1->?)-alpha-D-Manp-(1->3)[?-D-NeupAc-(2->?)-?-D-Galp-(1->?)-?-D-GlcpNAc-(1->?)-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)[alpha-L-Fucp-(1->6)]-?-D-GlcpNAc-(1->"
"G00320ZP","alpha-D-NeupAc-(2->3)-beta-D-Galp-(1->3)[alpha-D-NeupAc-(2->6)]-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->3)[alpha-D-NeupAc-(2->3)-beta-D-Galp-(1->3)-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-beta-D-GlcpNAc-(1->"
"G00328HB","alpha-D-Manp-(1->3)[alpha-D-Manp-(1->3)[alpha-D-Manp-(1->6)]-alpha-D-Manp-(1->6)]-beta-D-Man?-(1->4)-beta-D-GlcpNAc-(1->4)-?-D-GlcpNAc-(1->"
"G00331XG","?-D-Galp-(1->?)-?-D-Galp-(1->?)-?-D-GlcpNAc-(1->?)[?-D-Galp-(1->?)-?-D-GlcpNAc-(1->?)]-?-D-Manp-(1->?)[?-D-Galp-(1->?)-?-D-GlcpNAc-(1->?)-?-D-Manp-(1->?)]-?-D-Manp-(1->?)-?-D-GlcpNAc-(1->?)[?-L-Fucp-(1->?)]-?-D-GlcNAc-(?->"
"G00335DM","alpha-D-Manp-(1->2)-alpha-D-Manp-(1->3)[alpha-D-Manp-(1->2)-alpha-D-Manp-(1->2)-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-beta-D-GlcpNAc-(1->"
"G00336XG","?-D-Galp-(1->?)-?-D-Galp-(1->?)-?-D-GlcpNAc-(1->?)[?-D-GlcpNAc-(1->?)]-?-D-Galp-(1->?)-?-D-GlcpNAc-(1->?)-?-D-Galp-(1->?)-?-D-Glcp-(1->"
"G00349CA","beta-D-GlcpNAc-(1->2)[beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->4)]-alpha-D-Manp-(1->3)-beta-D-GlcpNAc-(1->4)[alpha-D-Manp-(1->3)[alpha-D-Manp-(1->6)]-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-?-D-GlcNAc-(?->"
"G00361YF","beta-D-GlcpNAc-(1->4)-alpha-D-Manp-(1->3)-beta-D-GlcpNAc-(1->4)[beta-D-GlcpNAc-(1->2)[beta-D-GlcpNAc-(1->4)]-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-?-D-GlcpNAc-(1->"
"G00362UY","alpha-L-Fucp-(1->6)-?-D-GlcNAc-(?->"
"G00370EI","alpha-D-NeupAc-(2->3)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->3)-beta-D-Galp-(1->4)-beta-D-Glcp-(1->"
"G00371DJ","beta-D-Galp-(1->3)[alpha-L-Fucp-(1->4)]-beta-D-GlcpNAc-(1->3)-alpha-D-GalpNAc-(1->"
"G00376RB","alpha-L-Fucp-(1->2)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->3)[alpha-L-Fucp-(1->2)]-beta-D-Galp-(1->3)[alpha-L-Fucp-(1->2)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->6)]-?-D-GalNAc-(?->"
"G00379PJ","?-D-GalpNAc-(1->?)-?-D-Galp-(1->?)-?-D-Galp-(1->?)[?-D-NeupAc-(2->?)]-?-D-GalpNAc-(1->"
"G00383KP","alpha-D-Manp-(1->3)[beta-D-Galp-(1->6)-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)[alpha-L-Fucp-(1->6)]-?-D-GlcpNAc-(1->"
"G00383YF","beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)[beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->4)]-alpha-D-Manp-(1->3)-beta-D-GlcpNAc-(1->4)[beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-?-D-GlcNAc-(?->"
"G00394CR","alpha-L-Fucp-(1->2)-beta-D-Galp-(1->3)[alpha-L-Fucp-(1->2)-alpha-D-Galp-(1->3)-alpha-D-Galp-(1->4)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->6)]-?-D-GalpNAc-(1->"
"G00395FS","alpha-D-Glcp-(1->4)-alpha-D-Glcp-(1->4)-beta-D-Glcp-(1->"
"G00395TQ","alpha-D-Manp-(1->6)-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)[alpha-L-Fucp-(1->6)]-beta-D-GlcpNAc-(1->"
"G00396DP","?-D-Manp-(1->?)-?-D-Manp-(1->?)[?-D-Manp-(1->?)]-?-D-Manp-(1->?)-?-D-GlcpNAc-(1->?)[?-L-Fucp-(1->?)]-?-D-GlcpNAc-(1->"
"G00396IE","beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->?)-alpha-D-Manp-(1->3)[beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->6)-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)[alpha-L-Fucp-(1->6)]-?-D-GlcpNAc-(1->"
"G00399LG","alpha-D-GalpNAc-(1->4)-beta-D-GlcpNAc-(1->"
"G00401IE","?-D-Galp-(1->?)-?-D-Galp-(1->?)-?-D-Galf-(1->"
"G00407UJ","beta-D-Galp-(1->3)-beta-D-GalpNAc-(1->4)-beta-D-Galp-(1->4)-?-D-Glcp-(1->"
"G00412SV","beta-D-GlcpNAc-(1->?)-alpha-D-Manp-(1->3)-beta-D-GlcpNAc-(1->?)-alpha-D-Manp-(1->6)[?-D-Xylf-(1->?)]-beta-D-Manp-(1->]"
"G00413UF","alpha-D-NeupAc-(2->6)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)[alpha-D-NeupAc-(2->6)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->4)]-alpha-D-Manp-(1->3)[beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->2)-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-beta-D-GlcpNAc-(1->"
"G00423TL","beta-D-GlcpNAc?S-(1->6)-beta-D-Galp-(1->3)-alpha-D-GalpNAc-(1->"
"G00428HK","alpha-D-Galp-(1->3)[alpha-L-Fucp-(1->2)]-beta-D-Galp-(1->3)[alpha-D-Galp-(1->3)[alpha-L-Fucp-(1->2)]-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->6)]-?-D-GalNAc-(?->"
