Name,Glycan Structure
G01356OG,G01356OG
G01356YS,G01356YS
G01357QI,G01357QI
G01357WC,G01357WC
G01360IK,G01360IK
G01361CV,G01361CV
G01361JC,G01361JC
G01361SX,G01361SX
G01364WM,G01364WM
G01364ZC,G01364ZC
G01366WY,G01366WY
G01367ZS,G01367ZS
G01369KU,G01369KU
G01375NQ,G01375NQ
G01376AY,G01376AY
G01378OV,G01378OV
G01385UC,G01385UC
G01386NB,G01386NB
G01388RZ,G01388RZ
G01392LP,G01392LP
G01396FD,G01396FD
G01406RR,G01406RR
G01410DC,G01410DC
G01410KF,G01410KF
G01414CL,G01414CL
G01416HI,G01416HI
G01416SG,G01416SG
G01417SR,G01417SR
G01424EN,G01424EN
G01437WY,G01437WY
G01440YK,G01440YK
G01443DG,G01443DG
G01445XB,G01445XB
G01447WV,G01447WV
G01450RG,G01450RG
G01450UB,G01450UB
G01451IZ,G01451IZ
G01453BU,G01453BU
G01453HD,G01453HD
G01455VM,G01455VM
G01457KB,G01457KB
G01461LF,G01461LF
G01464ES,G01464ES
G01465MJ,G01465MJ
G01473WV,G01473WV
G01476LL,G01476LL
G01476UF,G01476UF
G01476WA,G01476WA
G01480UG,G01480UG
G01485JJ,G01485JJ
G01489UZ,G01489UZ
G01494MP,G01494MP
G01498NL,G01498NL
G01500QH,G01500QH
G01505GJ,G01505GJ
G01506GC,G01506GC
G01511KB,G01511KB
G01513UO,G01513UO
G01514YB,G01514YB
G01520KE,G01520KE
G01521YU,G01521YU
G01525UQ,G01525UQ
G01527ZD,G01527ZD
G01533PK,G01533PK
G01534TU,G01534TU
G01535VC,G01535VC
G01540PE,G01540PE
G01541BA,G01541BA
G01541ZK,G01541ZK
G01542OM,G01542OM
G01543QR,G01543QR
G01543ZX,G01543ZX
G01544LX,G01544LX
G01545QB,G01545QB
G01546PE,G01546PE
G01550VL,G01550VL
G01550VZ,G01550VZ
G01555RW,G01555RW
G01556OR,G01556OR
G01563KC,G01563KC
G01566HQ,G01566HQ
G01573VB,G01573VB
G01577DB,G01577DB
G01580PZ,G01580PZ
G01584VI,G01584VI
G01587DQ,G01587DQ
G01590HD,G01590HD
G01595SM,G01595SM
G01599BJ,G01599BJ
G01599DL,G01599DL
G01599KP,G01599KP
G01600VV,G01600VV
G01602LO,G01602LO
G01604EO,G01604EO
G01605NF,G01605NF
G01606CH,G01606CH
G01607ZD,G01607ZD
G01608SJ,G01608SJ
G01608UX,G01608UX
G01612MY,G01612MY
G01613KN,G01613KN
G01614ZM,G01614ZM
G01625GQ,G01625GQ
G01629KW,G01629KW
G01629YL,G01629YL
G01633XH,G01633XH
G01635ZC,G01635ZC
G01643LM,G01643LM
G01650CJ,G01650CJ
G01650EU,G01650EU
G01650PH,G01650PH
G01654FP,G01654FP
G01655FT,G01655FT
G01657DW,G01657DW
G01657UH,G01657UH
G01659IT,G01659IT
G01659NO,G01659NO
G01664MY,G01664MY
G01665LU,G01665LU
G01666TL,G01666TL
G01669LU,G01669LU
G01670UQ,G01670UQ
G01675YF,G01675YF
